item,classC,classB
http://www.wikidata.org/entity/Q35798,http://www.wikidata.org/entity/Q66821220,http://www.wikidata.org/entity/Q3640798
http://www.wikidata.org/entity/Q35798,http://www.wikidata.org/entity/Q67187353,http://www.wikidata.org/entity/Q3640798
http://www.wikidata.org/entity/Q36534,http://www.wikidata.org/entity/Q2611095,http://www.wikidata.org/entity/Q192036
http://www.wikidata.org/entity/Q39546,http://www.wikidata.org/entity/Q1519190,http://www.wikidata.org/entity/Q161071
http://www.wikidata.org/entity/Q40056,http://www.wikidata.org/entity/Q909523,http://www.wikidata.org/entity/Q51938570
http://www.wikidata.org/entity/Q38720,http://www.wikidata.org/entity/Q1434438,http://www.wikidata.org/entity/Q1730505
http://www.wikidata.org/entity/Q38720,http://www.wikidata.org/entity/Q2695327,http://www.wikidata.org/entity/Q1730505
http://www.wikidata.org/entity/Q41415,http://www.wikidata.org/entity/Q1219001,http://www.wikidata.org/entity/Q15121455
http://www.wikidata.org/entity/Q41710,http://www.wikidata.org/entity/Q124216,http://www.wikidata.org/entity/Q394067
http://www.wikidata.org/entity/Q41710,http://www.wikidata.org/entity/Q581921,http://www.wikidata.org/entity/Q1209676
http://www.wikidata.org/entity/Q41710,http://www.wikidata.org/entity/Q124216,http://www.wikidata.org/entity/Q101094841
http://www.wikidata.org/entity/Q42527,http://www.wikidata.org/entity/Q68437707,http://www.wikidata.org/entity/Q12378304
http://www.wikidata.org/entity/Q41426,http://www.wikidata.org/entity/Q17540285,http://www.wikidata.org/entity/Q612097
http://www.wikidata.org/entity/Q45959,http://www.wikidata.org/entity/Q7162853,http://www.wikidata.org/entity/Q30314962
http://www.wikidata.org/entity/Q43229,http://www.wikidata.org/entity/Q1558054,http://www.wikidata.org/entity/Q4502119
http://www.wikidata.org/entity/Q51404,http://www.wikidata.org/entity/Q4816014,http://www.wikidata.org/entity/Q4922330
http://www.wikidata.org/entity/Q51404,http://www.wikidata.org/entity/Q4892460,http://www.wikidata.org/entity/Q6630631
http://www.wikidata.org/entity/Q51404,http://www.wikidata.org/entity/Q16979257,http://www.wikidata.org/entity/Q4922330
http://www.wikidata.org/entity/Q51404,http://www.wikidata.org/entity/Q20709277,http://www.wikidata.org/entity/Q4922330
http://www.wikidata.org/entity/Q51404,http://www.wikidata.org/entity/Q64605573,http://www.wikidata.org/entity/Q4922330
http://www.wikidata.org/entity/Q52105,http://www.wikidata.org/entity/Q7777019,http://www.wikidata.org/entity/Q1006733
http://www.wikidata.org/entity/Q52948,http://www.wikidata.org/entity/Q739398,http://www.wikidata.org/entity/Q33059490
http://www.wikidata.org/entity/Q56139,http://www.wikidata.org/entity/Q883744,http://www.wikidata.org/entity/Q281
http://www.wikidata.org/entity/Q81163,http://www.wikidata.org/entity/Q55844718,http://www.wikidata.org/entity/Q7071155
http://www.wikidata.org/entity/Q83267,http://www.wikidata.org/entity/Q694752,http://www.wikidata.org/entity/Q31836060
http://www.wikidata.org/entity/Q83267,http://www.wikidata.org/entity/Q7105533,http://www.wikidata.org/entity/Q11547135
http://www.wikidata.org/entity/Q83267,http://www.wikidata.org/entity/Q11312554,http://www.wikidata.org/entity/Q11547135
http://www.wikidata.org/entity/Q83267,http://www.wikidata.org/entity/Q96238023,http://www.wikidata.org/entity/Q11547135
http://www.wikidata.org/entity/Q107715,http://www.wikidata.org/entity/Q42213,http://www.wikidata.org/entity/Q12774754
http://www.wikidata.org/entity/Q111161,http://www.wikidata.org/entity/Q51645,http://www.wikidata.org/entity/Q10551516
http://www.wikidata.org/entity/Q107715,http://www.wikidata.org/entity/Q5239054,http://www.wikidata.org/entity/Q2352999
http://www.wikidata.org/entity/Q107715,http://www.wikidata.org/entity/Q15106259,http://www.wikidata.org/entity/Q128709
http://www.wikidata.org/entity/Q107715,http://www.wikidata.org/entity/Q15152757,http://www.wikidata.org/entity/Q128709
